zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_levity,amb_ext_wind_debris_high,ext_amb,mp_levity_ext_mix,mp_levity_ext,,mp_tuned_default,,,
mp_levity_ext,amb_ext_wind_debris_low,ext_amb,mp_levity_ext_mix,mp_levity_ext,,mp_tuned_default,,,
mp_levity_hanger,amb_int_large_open_wind,lrg_amb,mp_levity_hanger_mix,mp_levity_main,,mp_tuned_default,,,
mp_levity_hallway,amb_mp_levity_int_hall,int_amb,mp_levity_int_mix,mp_levity_int_hall,,mp_tuned_default,,,
mp_levity_stairs,amb_int_stairway,int_amb,mp_levity_int_mix,mp_levity_int_hall,,mp_tuned_default,,,
mp_levity_labs_lrg,amb_int_large_room,int_amb,mp_levity_int_mix,mp_levity_int_lab,,mp_tuned_default,,,
mp_levity_labs_sml,amb_int_entrance_wind,int_amb,mp_levity_int_mix,mp_levity_int_lab,,mp_tuned_default,,,
mp_levity_mech,amb_int_large_open_wind,lrg_amb,mp_levity_mech_mix,mp_levity_main,,mp_tuned_default,,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_levity_ext,courtyard,0.9,0.9,1,,,,,
mp_levity_main,hangar,0.9,0.9,1,,,,,
mp_levity_int_hall,hallway_metal,0.9,0.8,1,,,,,
mp_levity_int_lab,room_metal,0.9,0.8,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
vents,damb_vents,2,10,7,15,50,250,,
wind_02,wind_gust,2,10,10,25,50,250,0,180
wind_01,wind_gust_02,2,10,10,25,50,250,180,360
heli,heli_by,2,10,15,45,500,2000,,
mtl,metal_groan,2,10,7,15,200,1500,,
dynamic_ambience_names,components,,,,,,,,
int_amb,vents,,,,,,,,
ext_amb,heli,,,,,,,,
lrg_amb,mtl,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_levity_ext_mix,amb_emitter_int,0.4,0.5,0.5,,,,,
mp_levity_ext_mix,amb_emitter_ext,1,0.5,0.5,,,,,
mp_levity_ext_mix,amb_dist,0,0.5,0.5,,,,,
mp_levity_ext_mix,amb_damb,1,0.5,0.5,,,,,
mp_levity_int_mix,amb_emitter_int,1,0.5,0.5,,,,,
mp_levity_int_mix,amb_emitter_ext,0.1,0.5,0.5,,,,,
mp_levity_int_mix,amb_dist,0,0.5,0.5,,,,,
mp_levity_int_mix,amb_damb,0,0.5,0.5,,,,,
mp_levity_hanger_mix,amb_emitter_int,1,0.5,0.5,,,,,
mp_levity_hanger_mix,amb_emitter_ext,0.1,0.5,0.5,,,,,
mp_levity_hanger_mix,amb_dist,0,0.5,0.5,,,,,
mp_levity_hanger_mix,amb_damb,0.2,0.5,0.5,,,,,
mp_levity_mech_mix,amb_emitter_int,1,0.5,0.5,,,,,
mp_levity_mech_mix,amb_emitter_ext,0.1,0.5,0.5,,,,,
mp_levity_mech_mix,scripted7,1,0.5,0.5,,,,,
mp_levity_mech_mix,scripted8,0.2,0.5,0.5,,,,,
