zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_liberty,amb_mp_liberty_ext,,,mp_liberty_ext_open,,,,,
int_monkey_pit,amb_mp_liberty_int_hall,,,mp_liberty_int_slap,,,,,
int_cold_storage,amb_mp_liberty_int_sml,,,mp_liberty_int_sml,,,,,
int_medical_offices,amb_mp_liberty_int,,,mp_liberty_int_lrg,,,,,
int_feeding_pens,amb_mp_liberty_int_hall,,,mp_liberty_int_less_slap,,,,,
int_research_station,amb_mp_liberty_int_sml,,,mp_liberty_int_lrg,,,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_liberty_int_filt,default,highshelf,4500,-9,1,,,,
mp_liberty_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_liberty_int_sml,semi_open_small,1,0.3,1,,,,,
mp_liberty_int_lrg,semi_open_large,1,0.15,1,,,,,
mp_liberty_int_slap,med_size_vibrant,1,0.35,1,,,,,
mp_liberty_int_tunnel,large_size_vibrant,0.8,0.4,1,,,,,
mp_liberty_ext_open,close_buildings,1,0.1,1,,,,,
mp_liberty_int_less_slap,close_buildings,1,0.25,1,,,,,
mp_liberty_ext_slap,med_size_vibrant,1,0.2,1,,,,,
mp_liberty_ext_slap_open,med_size_vibrant,1,0.35,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
