zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_lost,amb_mp_lost_ext,,,mp_lost_ext_slap_open,,mp_tuned_default,,,
int_facility_open,amb_mp_lost_int,,,mp_lost_int_lrg,mp_lost_int_filt,mp_tuned_default,,,
ext_facility_open,amb_mp_lost_ext,,,mp_lost_ext_slap,,mp_tuned_default,,,
int_facility,amb_mp_lost_int_fac,,,mp_lost_int_less_slap,mp_lost_int_filt,mp_tuned_default,,,
int_facility_hallway,amb_mp_lost_int_fac,,,mp_lost_int_lrg,mp_lost_int_filt,mp_tuned_default,,,
int_tunnel,amb_mp_lost_int_fac,,,mp_lost_int_tunnel,mp_lost_int_filt,mp_tuned_default,,,
int_dome,amb_mp_lost_int,,,mp_lost_int_less_slap,mp_lost_int_filt,mp_tuned_default,,,
int_sphere,amb_mp_lost_int,,,mp_lost_int_less_slap,mp_lost_int_filt,mp_tuned_default,,,
int_tube_open,amb_mp_lost_ext,,,mp_lost_int_slap,mp_lost_int_filt,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_lost_int_filt,default,highshelf,4500,-9,1,,,,
mp_lost_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_lost_int_sml,semi_open_small,1,0.4,1,,,,,
mp_lost_int_lrg,med_size_vibrant,1,0.225,1,,,,,
mp_lost_int_slap,med_size_vibrant,1,0.4,1,,,,,
mp_lost_int_tunnel,large_size_vibrant,1,0.5,1,,,,,
mp_lost_ext_open,courtyard,1,0.075,1,,,,,
mp_lost_int_less_slap,close_buildings,1,0.45,1,,,,,
mp_lost_ext_slap,med_size_vibrant,1,0.1,1,,,,,
mp_lost_ext_slap_open,semi_open_large,1,0.25,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
