zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_perplex_1,amb_pp_ext,,,mp_perplex_ext_open,,mp_tuned_default,,,
ext_courtyard_pond,amb_pp_ext,,,mp_perplex_ext_slap,,mp_tuned_default,,,
ext_courtyard_hallway,amb_pp_int,,,mp_perplex_int_less_slap,,mp_tuned_default,,,
ext_hallway_slap,amb_pp_int,,,mp_perplex_int_slap,,mp_tuned_default,,,
int_pod,amb_pp_int,,,mp_perplex_int_lrg,,mp_tuned_default,,,
int_pod_lrg,amb_pp_int,,,mp_perplex_int_lrg_slap,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_perplex_int_filt,default,highshelf,4500,-9,1,,,,
mp_perplex_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_perplex_int_sml,semi_open_small,0.9,0.4,1,,,,,
mp_perplex_int_lrg,semi_open_large,0.9,0.07,1,,,,,
mp_perplex_int_slap,med_size_vibrant,0.9,0.3,1,,,,,
mp_perplex_int_lrg_slap,med_size_vibrant,0.9,0.2,1,,,,,
mp_perplex_ext_open,courtyard,0.9,0.5,1,,,,,
mp_perplex_int_less_slap,close_buildings,0.9,0.2,1,,,,,
mp_perplex_ext_slap,med_size_vibrant,0.9,0.3,1,,,,,
mp_perplex_ext_slap_open,large_size_vibrant,0.9,0.3,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
