zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_prison,amb_mp_prison_ext,,mp_ext_zone_mix,mp_prison_ext,,mp_tuned_default,,,
mp_prison_basketball,amb_mp_prison_ext,,mp_ext_zone_mix,mp_prison_ext_slap,,mp_tuned_default,,,
mp_prison_courtyard_bldg,amb_mp_prison_int_sml,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_cellblock,amb_mp_prison_int_jail,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_hole,amb_mp_prison_int_firehole,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_prk_bldg,amb_mp_prison_int,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_prk_bldg_destroyed,amb_mp_prison_int_sml,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_side_bldg_bus,amb_mp_prison_int_sml,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_rear_exit,amb_mp_prison_int,,mp_ext_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_radio_bldg,amb_mp_prison_ext,,mp_ext_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_prison_hall,amb_mp_prison_int_hall,,mp_int_zone_mix,mp_prison_int,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_prison_ext,city_street,1,0.5,2,,,,,
mp_prison_ext_slap,alley,1,0.5,2,,,,,
mp_prison_int,elevator_shaft,1,0.7,2,,,,,
mp_prison_int_sml,hall_marble,1,0.4,2,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
