zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr
mp_recovery,amb_mp_recovery_ext_mtn_cliff,,mp_ext_zone_mix,forest_river,,mp_tuned_default,
ext_under_bridge,amb_mp_recovery_ext_bridge,,mp_ext_zone_mix,cave,,mp_tuned_default,
int_observatory,amb_mp_recovery_int_observatory,,mp_int_zone_mix,cove_closed,,mp_tuned_default,
int_stairway,amb_mp_recovery_int_stairway,,mp_int_zone_mix,cove_closed,,mp_tuned_default,
int_tunnel,amb_mp_recovery_int_tunnel,,mp_int_zone_mix,tunnel,,mp_tuned_default,
int_triangle,amb_mp_recovery_int_triangle,,mp_int_zone_mix,trailer,,mp_tuned_default,
int_flight_deck1,amb_mp_recovery_int_flight_deck,,mp_int_zone_mix,cove_closed,,mp_tuned_default,
int_flight_deck2,amb_mp_recovery_int_flight_deck,,mp_int_zone_mix,cove_closed,,mp_tuned_default,
ext_balcony,amb_mp_recovery_ext_balcony,,mp_ext_zone_mix,cove_closed,,mp_tuned_default,
int_windhall,amb_mp_recovery_int_windhall,,mp_int_zone_mix,trailer,,mp_tuned_default,
int_walkthru1,amb_mp_recovery_int_room,,mp_int_zone_mix,trailer,,mp_tuned_default,
int_walkthru2,amb_mp_recovery_int_room,,mp_int_zone_mix,trailer,,mp_tuned_default,
mp_killcam_slomo,,,,,,,default
painvision,,,,,,,default
filter_names,channel,band,type,freq,gain,q,
reverb_names,roomtype,drylevel,wetlevel,fade,,,
forest_river,field,1,0.5,1,,,
forest,courtyard,1,0.5,1,,,
cove_closed,alcove_concrete,1,0.85,1,,,
trailer,room_metal,1,0.85,1,,,
cave,cave,1,0.85,2,,,
tunnel,tunnel,1,0.85,2,,,
mp_recovery_ext,amb_emitter_int,0,0.2,,,,
mp_recovery_ext,amb_emitter_ext,1,0.2,,,,
mp_recovery_ext,wpn_plr_shot,0,0.2,,,,
mp_recovery_ext,wpn_plr_mech,0,0.2,,,,
mp_recovery_ext,wpn_plr_sub,0,0.2,,,,
mp_recovery_int,amb_emitter_int,1,0.2,,,,
mp_recovery_int,amb_emitter_ext,0,0.2,,,,
adsr_zone_player,weapon,adsr,,,,,
adsr_zone_npc,weapon,adsr,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,
mix_names,volmod,value,fadein,fadeout,,,
