zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_refraction,amb_ext_refraction_rain,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext,,mp_tuned_default,,,
mp_refraction_int_ne_bldg,amb_refraction_int_rain_roof2,,mp_int_zone_mix,mp_refraction_int,,mp_tuned_default,,,
mp_refraction_ext_ne_bldg,amb_ext_refraction_rain,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext_slap,,mp_tuned_default,,,
mp_refraction_int_se_dish,amb_int_refraction_rain,,mp_int_zone_mix,mp_refraction_int,,mp_tuned_default,,,
mp_refraction_int_se_dish_deck,amb_int_refraction_rain,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext_slap,,mp_tuned_default,,,
mp_refraction_ext_e_tanks,amb_refraction_ext_rain_wind_cover,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext,,mp_tuned_default,,,
mp_refraction_int_elevator,amb_refraction_int_rain_tower_room,,mp_int_zone_mix,mp_refraction_int_slap,,mp_tuned_default,,,
mp_refraction_ext_elevator,amb_refraction_ext_rain_tower,refraction_exterior,mp_ext_zone_mix,mp_refraction_int_slap,,mp_tuned_default,,,
mp_refraction_ext_s_deck,amb_refraction_ext_rain_wind_cover,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext,,mp_tuned_default,,,
mp_refraction_int_s_bldg,amb_refraction_int_rain_roof1,,mp_int_zone_mix,mp_refraction_int,,mp_tuned_default,,,
mp_refraction_int_x_bldg,amb_refraction_int_rain_roof2,,mp_int_zone_mix,mp_refraction_int,,mp_tuned_default,,,
mp_refraction_int_s_bldg_upper,amb_refraction_int_rain_window,,mp_int_zone_mix,mp_refraction_int,,mp_tuned_default,,,
mp_refraction_ext_sw_warbird,amb_ext_refraction_rain,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext,,mp_tuned_default,,,
mp_refraction_ext_catwalk,amb_refraction_ext_rain_metal_cover,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext_slap,,mp_tuned_default,,,
mp_refraction_int_tunnel,amb_refraction_int_rain_tunnel,,mp_ext_zone_mix,mp_refraction_ext_slap,,mp_tuned_default,,,
mp_refraction_ext_nw_tower,amb_ext_refraction_rain,refraction_exterior,mp_ext_zone_mix,mp_refraction_ext_slap,,mp_tuned_default,,,
mp_refraction_int_crate1,amb_refraction_int_crate_rain1,refraction_exterior,mp_ext_zone_mix,mp_refraction_int_slap,,mp_tuned_default,,,
mp_refraction_int_crate2,amb_refraction_int_crate_rain2,refraction_exterior,mp_ext_zone_mix,mp_refraction_int_slap,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_refraction_ext,courtyard,1,0.8,2,,,,,
mp_refraction_ext_slap,courtyard,1,0.8,2,,,,,
mp_refraction_int,hall_marble,0.7,0.8,2,,,,,
mp_refraction_int_slap,elevator_shaft,0.7,0.8,2,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
thunder,dyn_thunder_dist,1,2,15,30,1000,2000,0,360
commercial_jets,dyn_commercial_jet_flyby_dist,10,20,15,30,1000,2000,0,360
dynamic_ambience_names,components,,,,,,,,
refraction_exterior,thunder + commercial_jets,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
