zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_sector17,amb_ext_sector17_front,,,mp_sector17_ext,,mp_sector17,,,
mp_sector17_int_tunnel,amb_ext_sector17_front,,,mp_sector17_tunnel,mp_sector17_int,mp_sector17,,,
mp_sector17_int_med,amb_ext_sector17_front,,,mp_sector17_med,mp_sector17_int_semiopen,mp_sector17,,,
mp_sector17_int_small,amb_ext_sector17_front,,,mp_sector17_small,mp_sector17_int_small,mp_sector17,,,
mp_sector17_int_large,amb_ext_sector17_front,,,mp_sector17_large,mp_sector17_int_semiopen,mp_sector17,,,
mp_sector17_ext_partial,amb_ext_sector17_front,,,mp_sector17_ext_partial,mp_sector17_ext_partial,mp_sector17,,,
mp_sector17_int_small_partial,amb_ext_sector17_front,,,mp_sector17_small_partial,mp_sector17_int_small,mp_sector17,,,
mp_sector17_ext_tighter,amb_ext_sector17_front,,,mp_sector17_ext_tighter,mp_sector17_ext_partial,mp_sector17,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_sector17_int,quads,highshelf,300,-12,1,,,,
mp_sector17_int_small,quads,highshelf,900,-9,1,,,,
mp_sector17_int_small,ambience,highshelf,300,-12,1,,,,
mp_sector17_int_semiopen,quads,highshelf,1800,-6,1,,,,
mp_sector17_ext_partial,quads,highshelf,4000,-6,1,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,
mp_sector17,default,1500,highshelf,-12,1,,,,
mp_sector17,weapons,1800,highshelf,-12,1,,,,
mp_sector17,weapons_dist,1800,highshelf,-12,1,,,,
mp_sector17,ambience,600,highshelf,-12,1,,,,
mp_sector17,emitters,300,highshelf,-12,1,,,,
mp_sector17,quads,600,highshelf,-12,1,,,,
mp_sector17,music,600,highshelf,-12,1,,,,
mp_sector17,foley,300,highshelf,-12,1,,,,
mp_sector17,explosions,1500,highshelf,-8,1,,,,
mp_sector17,tactical,800,highshelf,-12,1,,,,
mp_sector17,tactical_special,600,highshelf,-12,1,,,,
mp_sector17,vehicles,800,highshelf,-12,1,,,,
mp_sector17,air_vehicles,600,highshelf,-12,1,,,,
mp_sector17,int_vehicles_1,600,highshelf,-12,1,,,,
mp_sector17,int_vehicles_2,600,highshelf,-12,1,,,,
mp_sector17,voices,1200,highshelf,-12,1,,,,
mp_sector17,voices_critical,1200,highshelf,-12,1,,,,
mp_sector17,voices_unfiltered,1200,highshelf,-12,1,,,,
mp_sector17,animals,800,highshelf,-12,1,,,,
mp_sector17,physics,800,highshelf,-12,1,,,,
mp_sector17,battlechatter,800,highshelf,-12,1,,,,
mp_sector17,interface,800,highshelf,-12,1,,,,
mp_sector17,scripted,800,highshelf,-12,1,,,,
mp_sector17,scripted1,800,highshelf,-12,1,,,,
mp_sector17,scripted2,800,highshelf,-12,1,,,,
mp_sector17,scripted3,800,highshelf,-12,1,,,,
mp_sector17,scripted4,800,highshelf,-12,1,,,,
mp_sector17,scripted5,800,highshelf,-12,1,,,,
mp_sector17,whizbys,800,highshelf,-12,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_sector17_ext,courtyard,0.9,0.7,1,,,,,
mp_sector17_small,small_size_vibrant,0.9,0.6,1,,,,,
mp_sector17_med,med_size_vibrant,0.9,0.6,1,,,,,
mp_sector17_tunnel,tunnel,0.9,0.7,1,,,,,
mp_sector17_large,semi_open_large,0.9,0.5,1,,,,,
mp_sector17_ext_partial,med_size_vibrant,0.9,0.45,1,,,,,
mp_sector17_small_partial,small_size_vibrant,0.9,0.8,1,,,,,
mp_sector17_ext_tighter,close_buildings,0.9,0.6,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
