zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_seoul2,amb_mp_seoul2_ext,,,mp_seoul2_ext_open,,,,,
int_restaurant_koi,amb_mp_seoul2_int,,,mp_seoul2_int_lrg,,,,,
int_restaurant_koi_alley,amb_mp_seoul2_ext,,,mp_seoul2_int_tunnel,,,,,
int_restaurant_vibe_hallway,amb_mp_seoul2_ext,,,mp_seoul2_int_tunnel,,,,,
ext_carport_sml_open,amb_mp_seoul2_ext,,,mp_seoul2_ext_slap_open,,,,,
int_nom_cafe,amb_mp_seoul2_int_office,,,mp_seoul2_int_lrg,,,,,
int_noodle_house,amb_mp_seoul2_int_office,,,mp_seoul2_int_sml,,,,,
ext_noodle_house,amb_mp_seoul2_ext,,,mp_seoul2_int_sml,,,,,
int_truck_trailer,amb_mp_seoul2_ext,,,mp_seoul2_int_slap,,,,,
int_sakura_restaurant,amb_mp_seoul2_int_office,,,mp_seoul2_int_lrg,,,,,
int_dest_bldg,amb_mp_seoul2_int_const,,,mp_seoul2_int_lrg,,,,,
int_bar,amb_mp_seoul2_int_const,,,mp_seoul2_int_sml,,,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_seoul2_int_filt,default,highshelf,4500,-9,1,,,,
mp_seoul2_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_seoul2_int_sml,semi_open_small,0.9,0.4,1,,,,,
mp_seoul2_int_lrg,semi_open_large,0.9,0.25,1,,,,,
mp_seoul2_int_slap,med_size_vibrant,0.9,0.5,1,,,,,
mp_seoul2_int_tunnel,large_size_vibrant,0.8,0.5,1,,,,,
mp_seoul2_ext_open,close_buildings,1,0.2,1,,,,,
mp_seoul2_int_less_slap,close_buildings,0.9,0.3,1,,,,,
mp_seoul2_ext_slap,med_size_vibrant,0.9,0.25,1,,,,,
mp_seoul2_ext_slap_open,med_size_vibrant,0.9,0.5,,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
