zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_solar,amb_mp_solar_ext,ext_amb,mp_solar_ext_mix,mp_solar_ext,,mp_tuned_default,,,
mp_solar_ext_partial,amb_mp_solar_ext,ext_amb,mp_solar_ext_mix,mp_solar_ext_partial,mp_solar_partial_filt,mp_tuned_default,,,
mp_solar_ext_lrg_partial,amb_mp_solar_ext,ext_amb,mp_solar_ext_mix,mp_solar_ext_lrg_partial,mp_solar_partial_filt,mp_tuned_default,,,
mp_solar_int,amb_mp_solar_int,int_amb,mp_solar_int_mix,mp_solar_int_slap,mp_solar_int_filt,mp_tuned_default,,,
mp_solar_int_main,amb_mp_solar_int_main,int_main_amb,mp_solar_room_mix,mp_solar_main,mp_solar_int_main_filt,mp_tuned_default,,,
mp_solar_int_deep,amb_mp_solar_int_deep,deep_int_amb,mp_solar_int_mix,mp_solar_int_deep,mp_solar_int_filt,mp_tuned_default,,,
mp_solar_int_tunnel,amb_mp_solar_int_deep,tunnel_int_amb,mp_solar_int_mix,mp_solar_sewer,mp_solar_int_filt,mp_tuned_default,,,
filter_names,channel,band,type,freq,gain,q,,,
mp_solar_int_filt,default,0,highshelf,4500,-9,1,,,
mp_solar_int_main_filt,default,0,highshelf,4500,-10,1,,,
mp_solar_partial_filt,default,0,highshelf,6000,-6,1,,,
mp_solar_partial_filt,default,0,highshelf,8000,-6,1,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_solar_ext,courtyard,0.9,0.6,1,,,,,
mp_solar_ext_partial,alcove_concrete,0.9,0.6,1,,,,,
mp_solar_ext_lrg_partial,underpass,0.9,0.6,1,,,,,
mp_solar_int,room_concrete,0.9,0.55,1,,,,,
mp_solar_main,hangar,0.9,0.5,1,,,,,
mp_solar_int_deep,hallway_metal,0.9,0.6,1,,,,,
mp_solar_int_slap,room_metal,0.9,0.5,1,,,,,
mp_solar_sewer,cargo_container_sml,0.9,0.6,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
wind,mp_solar_wind_gust,3,7,3,8,50,200,0,180
wind_02,mp_solar_wind_gust_02,3,7,3,8,50,200,180,0
steam,mp_solar_steam_blast,15,30,10,25,150,500,,
int_steam,mp_solar_steam_blast,5,10,5,20,50,500,,
mtl_rattle,mp_solar_mtl_rattle,5,15,5,20,100,500,,
int_mtl_rattle,mp_solar_mtl_rattle,5,10,5,20,50,500,,
mtl_bang,mp_solar_mtl_bang,15,30,20,45,50,500,,
main_mtl_bang,mp_solar_mtl_bang,10,30,10,30,50,500,,
cicada,mp_solar_cicada_chirp,7,15,7,30,100,500,,
int_cicada,mp_solar_cicada_chirp,15,30,10,25,50,250,,
dynamic_ambience_names,components,,,,,,,,
ext_amb,wind + wind_02 + steam + mtl_bang + cicada,,,,,,,,
int_amb,int_steam + mtl_rattle + int_cicada,,,,,,,,
int_main_amb,mtl_rattle + main_mtl_bang + int_steam,,,,,,,,
deep_int_amb,int_steam + mtl_bang + mtl_rattle + int_cicada,,,,,,,,
tunnel_int_amb,steam + int_cicada,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
mp_solar_ext_mix,amb_emitter_int,0.4,0.3,0.4,,,,,
mp_solar_ext_mix,amb_emitter_ext,1,0.3,0.3,,,,,
mp_solar_ext_mix,scripted1,0,1.5,1.5,,,,,
mp_solar_ext_mix,scripted2,1,0.7,0.5,,,,,
mp_solar_int_mix,amb_emitter_int,1,0.3,0.3,,,,,
mp_solar_int_mix,amb_emitter_ext,0.1,0.2,0.3,,,,,
mp_solar_int_mix,scripted1,0,1.5,1.5,,,,,
mp_solar_int_mix,scripted2,0.3,0.7,1.5,,,,,
mp_solar_room_mix,amb_emitter_int,1,0.3,0.3,,,,,
mp_solar_room_mix,amb_emitter_ext,0.1,0.2,0.3,,,,,
mp_solar_room_mix,scripted1,1,0.1,1.5,,,,,
mp_solar_room_mix,scripted2,0.2,0.1,1.5,,,,,
