zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_spark,amb_ext_spark_front,,,mp_spark_ext,,mp_tuned_default,,,
mp_spark_int_sml,amb_int_sml_front,,,mp_spark_room_sml,,mp_tuned_default,,,
mp_spark_int_med,amb_int_med_front,,,mp_spark_room_med,,mp_tuned_default,,,
mp_spark_ext_med,amb_ext_spark_front,,,mp_spark_alley_med,,mp_tuned_default,,,
mp_spark_ext_narrow,amb_ext_spark_front,,,mp_spark_alley_narrow,,mp_tuned_default,,,
mp_spark_partial_sml,amb_ext_spark_front,,,mp_spark_partial_room_sml,,mp_tuned_default,,,
mp_spark_partial_med,amb_ext_spark_front,,,mp_spark_partial_room_med,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_spark_ext,close_buildings,0.9,0.5,1,,,,,
mp_spark_room_sml,small_size_vibrant,0.9,0.6,1,,,,,
mp_spark_room_med,med_size_vibrant,0.9,0.6,1,,,,,
mp_spark_alley_med,close_buildings,0.9,0.7,1,,,,,
mp_spark_alley_narrow,alleyway_buildings,0.9,0.7,1,,,,,
mp_spark_partial_room_sml,semi_open_small,0.9,0.7,1,,,,,
mp_spark_partial_room_med,semi_open_med,0.9,0.7,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
