zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_terrace,,ext,terrace_ext_mix,terrace_ext,,mp_tuned_default,,,
mp_terrace_ext,,ext,terrace_ext_mix,terrace_ext,,mp_tuned_default,,,
mp_terrace_ext_hall,,ext,terrace_ext_mix,terrace_hall,,mp_tuned_default,,,
mp_terrace_int_room,amb_mp_ter_int,int,terrace_int_mix,terrace_room,,mp_tuned_default,,,
mp_terrace_int_hall,amb_mp_ter_int,int,terrace_int_mix,terrace_hall_02,,mp_tuned_default,,,
mp_terrace_hotel,amb_mp_ter_hotel,hotel,hotel_mix,terrace_hotel,,mp_tuned_default,,,
mp_terrace_tunnel,amb_mp_ter_tunnel,int,terrace_int_mix,terrace_tunnel,,mp_tuned_default,,,
mp_terrace_pool,,ext,terrace_ext_mix,terrace_pool,,mp_tuned_default,,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
terrace_ext,courtyard,1,0.4,1,,,,,
terrace_pool,alcove_concrete,1,0.4,1,,,,,
terrace_room,room_marble,1,0.4,1,,,,,
terrace_hall,hallway_marble,1,0.4,1,,,,,
terrace_hall_02,sewer,1,0.4,1,,,,,
terrace_hotel,hall_marble,1,0.4,1,,,,,
terrace_tunnel,cave,1,0.6,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
flies,mp_ter_flies,1,5,0.75,8,50,150,,
wind,mp_ter_wind_gust_high,5,15,15,30,50,1500,0,180
wind_02,mp_ter_wind_gust_high_02,5,15,15,30,50,1500,180,360
camera,mp_ter_camera,5,20,7,25,50,400,,
bat,mp_ter_bat,5,20,3,8,50,300,,
dynamic_ambience_names,components,,,,,,,,
ext,flies,,,,,,,,
int,camera + bat,,,,,,,,
hotel,camera,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
terrace_ext_mix,amb_damb,1,1,0.5,,,,,
terrace_ext_mix,amb_emitter_int,0.3,1,0.5,,,,,
terrace_ext_mix,amb_emitter_ext,1,1,0.5,,,,,
terrace_int_mix,amb_damb,0.1,1,0.5,,,,,
terrace_int_mix,amb_dist,0.6,1,0.5,,,,,
terrace_int_mix,amb_emitter_int,1,1,0.5,,,,,
terrace_int_mix,amb_emitter_ext,0.3,1,0.5,,,,,
hotel_mix,amb_damb,0.06,1,0.5,,,,,
hotel_mix,amb_emitter_int,1,1,0.5,,,,,
hotel_mix,amb_emitter_ext,0.06,1,0.5,,,,,
