zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_torqued,amb_mp_torqued_ext,,amb_ext,mp_torqued_ext,,mp_tuned_default,,,
torqued_lrg_room_e,amb_mp_torqued_ext,,amb_int,mp_torqued_large_partial,mp_torqued_partial_filt,mp_tuned_default,,,
torqued_tower,amb_mp_torqued_station_front,,amb_int,mp_torqued_large_vibrant,mp_torqued_int_filt,mp_tuned_default,,,
torqued_sm_room_nw,amb_computer_room_sml_front,,amb_int,mp_torqued_small_vibrant,mp_torqued_int_filt,mp_tuned_default,,,
torqued_sm_room_w,amb_mp_torqued_ext,,amb_int,mp_torqued_med_partial,mp_torqued_partial_filt,mp_tuned_default,,,
torqued_sm_room_sw,amb_mp_torqued_ext,,amb_int,mp_torqued_small_partial,mp_torqued_partial_filt,mp_tuned_default,,,
torqued_sm_room_n,amb_office_sml_front,,amb_int,mp_torqued_small_partial,mp_torqued_partial_filt,mp_tuned_default,,,
torqued_sm_room_ne,amb_computer_room_sml_front,,amb_int,mp_torqued_small_vibrant,mp_torqued_int_filt,mp_tuned_default,,,
torqued_alley,amb_mp_torqued_ext,,amb_ext,mp_torqued_alleyway_buildings,mp_torqued_partial_filt,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
mp_torqued_int_filt,default,highshelf,4500,-9,1,,,,
mp_torqued_partial_filt,default,highshelf,6000,-6,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_torqued_small_partial,semi_open_small,0.9,0.45,1,,,,,
mp_torqued_med_partial,semi_open_med,0.9,0.45,1,,,,,
mp_torqued_large_partial,semi_open_large,0.9,0.45,1,,,,,
mp_torqued_small_vibrant,small_size_vibrant,0.9,0.45,1,,,,,
mp_torqued_med_vibrant,med_size_vibrant,0.9,0.45,1,,,,,
mp_torqued_large_vibrant,large_size_vibrant,0.9,0.45,1,,,,,
mp_torqued_ext,scattered_buildings,0.9,0.2,1,,,,,
mp_torqued_close_buildings,close_buildings,0.9,0.2,1,,,,,
mp_torqued_alleyway_buildings,alleyway_buildings,0.9,0.2,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
amb_ext,amb_emitter_ext,1,,,,,,,
amb_ext,amb_emitter_int,0,,,,,,,
amb_int,amb_emitter_ext,0,,,,,,,
amb_int,amb_emitter_int,1,,,,,,,
