zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_urban,amb_ext_urban_front,,,mp_urban_ext,,mp_tuned_default,,,
mp_urban_int_sml,amb_int_sml_front,,,mp_urban_room_sml,,mp_tuned_default,,,
mp_urban_int_med,amb_int_med_front,,,mp_urban_room_med,,mp_tuned_default,,,
mp_urban_ext_med,amb_ext_urban_front,,,mp_urban_alley_med,,mp_tuned_default,,,
mp_urban_ext_narrow,amb_ext_urban_front,,,mp_urban_alley_narrow,,mp_tuned_default,,,
mp_urban_partial_sml,amb_ext_urban_front,,,mp_urban_ext,,mp_tuned_default,,,
mp_urban_partial_med,amb_ext_urban_front,,,mp_urban_ext,,mp_tuned_default,,,
mp_urban_waiting_rm,amb_waiting_rm_front,,,mp_urban_partial_room_med,,mp_tuned_default,,,
mp_urban_lobby,amb_lobby_front,,,mp_urban_partial_room_med,,mp_tuned_default,,,
mp_urban_hallway,amb_int_sml_front,,,mp_urban_room_sml,,mp_tuned_default,,,
mp_urban_storage,amb_storage_front,,,mp_urban_room_sml,,mp_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mp_urban_ext,scattered_buildings,0.9,0.4,1,,,,,
mp_urban_room_sml,small_size_vibrant,0.9,0.7,1,,,,,
mp_urban_room_med,med_size_vibrant,0.9,0.7,1,,,,,
mp_urban_alley_med,close_buildings,0.9,0.7,1,,,,,
mp_urban_alley_narrow,alleyway_buildings,0.9,0.7,1,,,,,
mp_urban_partial_room_sml,semi_open_small,0.9,0.7,1,,,,,
mp_urban_partial_room_med,semi_open_med,0.9,0.7,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
