zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_venus,amb_venus_ext_valley,damb_ext_swamp,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
int_lounge,amb_venus_int_lounge,,mp_int_zone_mix,mountain_wind,,mp_tuned_default,,,
int_bar,amb_venus_int_bar,,mp_ext_zone_mix,mountain_wind,,mp_tuned_default,,,
int_supply,amb_venus_int_supply,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_reception,amb_venus_int_reception,,mp_int_zone_mix,metal_room,,mp_tuned_default,,,
int_pool,amb_venus_int_pool,,mp_ext_zone_mix,metal_room,,mp_tuned_default,,,
int_lookout,amb_venus_int_lookout,,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
int_waterfall,amb_venus_int_waterfall,damb_int_cave,mp_int_zone_mix,concrete_room,,mp_tuned_default,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,channel,band,type,freq,gain,q,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
mountain_wind,mountains,1,0.4,1,,,,,
metal_room,elevator_shaft,1,0.5,1,,,,,
concrete_room,elevator_shaft,1,0.45,1,,,,,
tunnel_stairs,tunnel,1,0.45,1,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
ext_tree_move_light,emt_tree_move_light,7,12,6,12,150,600,,
ext_tree_wind_light,emt_trees_wind_light,3,16,8,14,50,500,,
ext_drip_leaf,emt_drip_leaf,2,3,1,2,25,300,,
ext_drip_forest_rock,emt_drip_forest_rock,1,2,1,3,50,300,,
int_dust_cave,emt_rocks_dust_cave,3,7,4,7,75,300,,
int_debris_cave,emt_rocks_debris_cave,2,5,5,3,75,400,,
dynamic_ambience_names,components,,,,,,,,
damb_ext_swamp,ext_drip_leaf + ext_drip_forest_rock + ext_tree_wind_light + ext_tree_move_light,,,,,,,,
damb_int_cave,int_debris_cave + int_dust_cave,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
