zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_vlobby_room,,,mp_no_foley,,,,,,
mp_killcam_slomo,,,,,,,default,,
painvision,,,,,,,default,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
no_foley,foley_plr,0,0.1,,,,,,
no_foley,mp_foley_plr,0,0.1,,,,,,
no_foley,foley_plr_special,0,0.1,,,,,,
no_foley,footstep_plr,0,0.1,,,,,,
no_foley,footstep_plr_special,0,0.1,,,,,,
no_foley,footstep_npc,0,0.1,,,,,,
