zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_zombie_ark,,,ark_exterior,zmb_ark_ext_1,,zombie_tuned_default,,,
mp_zombie_ark_ext,,,ark_exterior,zmb_ark_ext_1,,zombie_tuned_default,,,
mp_zombie_ark_island,,,ark_island,zmb_ark_ext_1,,zombie_tuned_default,,,
mp_zombie_ark_semi_open_small,,,ark_semi_open,zmb_ark_semi_open_small,,zombie_tuned_default,,,
mp_zombie_ark_semi_open_med,,,ark_semi_open,zmb_ark_semi_open_med,,zombie_tuned_default,,,
mp_zombie_ark_semi_open_large,,,ark_semi_open,zmb_ark_semi_open_large,,zombie_tuned_default,,,
mp_zombie_ark_int_tight,,,ark_interior,zmb_ark_int_tight,,zombie_tuned_default,,,
mp_zombie_ark_int_small_passage,,,ark_interior,zmb_ark_int_small_passage,,zombie_tuned_default,,,
mp_zombie_ark_int_small,,,ark_interior,zmb_ark_int_small,,zombie_tuned_default,,,
mp_zombie_ark_int_medium,,,ark_interior,zmb_ark_int_medium,,zombie_tuned_default,,,
mp_zombie_ark_int_large,,,ark_interior,zmb_ark_int_large,,zombie_tuned_default,,,
mp_zombie_ark_int_hallway,,,ark_interior,zmb_ark_int_hallway,,zombie_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,
zombie_tuned_default,default,1500,highshelf,-12,1,,,,
zombie_tuned_default,weapons,1800,highshelf,-12,1,,,,
zombie_tuned_default,weapons_dist,1800,highshelf,-12,1,,,,
zombie_tuned_default,ambience,600,highshelf,-12,1,,,,
zombie_tuned_default,emitters,300,highshelf,-12,1,,,,
zombie_tuned_default,quads,600,highshelf,-12,1,,,,
zombie_tuned_default,music,600,highshelf,-12,1,,,,
zombie_tuned_default,foley,300,highshelf,-12,1,,,,
zombie_tuned_default,explosions,1500,highshelf,-8,1,,,,
zombie_tuned_default,tactical,800,highshelf,-12,1,,,,
zombie_tuned_default,tactical_special,600,highshelf,-12,1,,,,
zombie_tuned_default,vehicles,800,highshelf,-12,1,,,,
zombie_tuned_default,air_vehicles,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_1,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_2,600,highshelf,-12,1,,,,
zombie_tuned_default,voices,1200,highshelf,-12,1,,,,
