zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_zombie_brg,amb_brg_exterior_wind_front,damb_ext_burgertown,brg_exterior,zmb_brg_ext,,zombie_tuned_default,,,
mp_zombie_brg_restaurant,amb_brg_restaurant_front,damb_int_burgertown,brg_interior,zmb_brg_restaurant_int,,zombie_tuned_default,,,
mp_zombie_brg_warehouse,amb_brg_warehouse_front,damb_int_warehouse,brg_interior,zmb_brg_warehouse_int,,zombie_tuned_default,,,
mp_zombie_brg_car_wash,amb_brg_car_wash_front,,brg_interior,zmb_brg_car_wash,,zombie_tuned_default,,,
mp_zombie_brg_station,amb_brg_station_front,,brg_interior,zmb_brg_station,,zombie_tuned_default,,,
mp_zombie_brg_tunnel,amb_brg_tunnel_front,,brg_interior,zmb_brg_tunnel,,zombie_tuned_default,,,
mp_zombie_brg_cargo_vault_01,amb_brg_cargo_vault_front,,brg_interior,zmb_brg_cargo_vault,,zombie_tuned_default,,,
mp_zombie_brg_cargo_vault_02,amb_brg_cargo_vault_front,,brg_interior,zmb_brg_cargo_vault,,zombie_tuned_default,,,
mp_zombie_brg_sewer_cave_01,amb_brg_sewer_cave_01_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_cave_01,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_cave_02,amb_brg_sewer_cave_02_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_cave_02,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_cave_03,amb_brg_sewer_cave_02_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_cave_03,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_cave_04,amb_brg_sewer_cave_02_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_cave_04,sewers,zombie_tuned_default,,,
mp_zombie_brg_entrance_hall,amb_brg_sewer_halls_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_halls,sewers,zombie_tuned_default,,,
mp_zombie_brg_atrium,amb_brg_sewer_main_front,damb_int_sewer,brg_sewers,zmb_brg_atrium,sewers,zombie_tuned_default,,,
mp_zombie_brg_atrium_entrance,amb_brg_sewer_halls_front,damb_int_sewer,brg_sewers,zmb_brg_atrium_entrance,sewers,zombie_tuned_default,,,
mp_zombie_brg_corridor_01,amb_brg_sewer_halls_front,damb_int_sewer,brg_sewers,zmb_brg_tunnel,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_halls,amb_brg_sewer_halls_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_halls,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_main,amb_brg_sewer_main_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_main,sewers,zombie_tuned_default,,,
mp_zombie_brg_sewer_bottom,amb_brg_sewer_bottom_front,damb_int_sewer,brg_sewers,zmb_brg_sewer_bottom,sewers,zombie_tuned_default,,,
mp_zombie_brg_hidden_burger,amb_brg_station_front,,brg_interior,zmb_brg_station,,zombie_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
sewers,scripted5,highshelf,1500,-12,1,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,
zombie_tuned_default,default,1500,highshelf,-12,1,,,,
zombie_tuned_default,weapons,1800,highshelf,-12,1,,,,
zombie_tuned_default,weapons_dist,1800,highshelf,-12,1,,,,
zombie_tuned_default,ambience,600,highshelf,-12,1,,,,
zombie_tuned_default,emitters,300,highshelf,-12,1,,,,
zombie_tuned_default,quads,600,highshelf,-12,1,,,,
zombie_tuned_default,music,600,highshelf,-12,1,,,,
zombie_tuned_default,foley,300,highshelf,-12,1,,,,
zombie_tuned_default,explosions,1500,highshelf,-8,1,,,,
zombie_tuned_default,tactical,800,highshelf,-12,1,,,,
zombie_tuned_default,tactical_special,600,highshelf,-12,1,,,,
zombie_tuned_default,vehicles,800,highshelf,-12,1,,,,
zombie_tuned_default,air_vehicles,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_1,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_2,600,highshelf,-12,1,,,,
zombie_tuned_default,voices,1200,highshelf,-12,1,,,,
zombie_tuned_default,voices_critical,1800,highshelf,-8,1,,,,
zombie_tuned_default,voices_unfiltered,1200,highshelf,-12,1,,,,
zombie_tuned_default,animals,800,highshelf,-12,1,,,,
zombie_tuned_default,physics,800,highshelf,-12,1,,,,
zombie_tuned_default,battlechatter,800,highshelf,-12,1,,,,
zombie_tuned_default,interface,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted1,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted2,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted3,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted4,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted5,800,highshelf,-12,1,,,,
