zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,
mp_zombie_lab,amb_zmb_lab_ext,,lab_exterior,zmb_lab_int_medium,,zombie_tuned_default,,,
mp_zombie_lab_ext,amb_zmb_lab_ext,,lab_exterior,zmb_lab_ext_medium,,zombie_tuned_default,,,
mp_zombie_lab_int_general_tight,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_tight,,zombie_tuned_default,,,
mp_zombie_lab_int_general_small,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_small,,zombie_tuned_default,,,
mp_zombie_lab_int_general_med,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_medium,,zombie_tuned_default,,,
mp_zombie_lab_int_general_large,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_large,,zombie_tuned_default,,,
mp_zombie_lab_int_general_larger,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_larger,,zombie_tuned_default,,,
mp_zombie_lab_int_general_huge,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_huge,,zombie_tuned_default,,,
mp_zombie_lab_incinerator_room,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_large,,zombie_tuned_default,,,
mp_zombie_lab_int_general_hallway,amb_zmb_lab_int_general,,lab_interior,zmb_lab_int_hallway,,zombie_tuned_default,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,
zombie_tuned_default,default,1500,highshelf,-12,1,,,,
zombie_tuned_default,weapons,1800,highshelf,-12,1,,,,
zombie_tuned_default,weapons_dist,1800,highshelf,-12,1,,,,
zombie_tuned_default,ambience,600,highshelf,-12,1,,,,
zombie_tuned_default,emitters,300,highshelf,-12,1,,,,
zombie_tuned_default,quads,600,highshelf,-12,1,,,,
zombie_tuned_default,music,600,highshelf,-12,1,,,,
zombie_tuned_default,foley,300,highshelf,-12,1,,,,
zombie_tuned_default,explosions,1500,highshelf,-8,1,,,,
zombie_tuned_default,tactical,800,highshelf,-12,1,,,,
zombie_tuned_default,tactical_special,600,highshelf,-12,1,,,,
zombie_tuned_default,vehicles,800,highshelf,-12,1,,,,
zombie_tuned_default,air_vehicles,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_1,600,highshelf,-12,1,,,,
zombie_tuned_default,int_vehicles_2,600,highshelf,-12,1,,,,
zombie_tuned_default,voices,1200,highshelf,-12,1,,,,
zombie_tuned_default,voices_critical,1200,highshelf,-12,1,,,,
zombie_tuned_default,voices_unfiltered,1200,highshelf,-12,1,,,,
zombie_tuned_default,animals,800,highshelf,-12,1,,,,
zombie_tuned_default,physics,800,highshelf,-12,1,,,,
zombie_tuned_default,battlechatter,800,highshelf,-12,1,,,,
zombie_tuned_default,interface,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted1,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted2,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted3,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted4,800,highshelf,-12,1,,,,
zombie_tuned_default,scripted5,800,highshelf,-12,1,,,,
zombie_tuned_default,unoccluded,20000,lowpass,0,1,,,,
zombie_tuned_default,whizbys,800,highshelf,-12,1,,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,
zmb_lab_ext_general,scattered_buildings,1,0.2,0.6,,,,,
zmb_lab_ext_medium,tunnel,1,0.15,0.3,,,,,
zmb_lab_int_tight,small_size_vibrant,1,0.2,0.2,,,,,
zmb_lab_int_small,small_size_vibrant,1,0.3,0.4,,,,,
zmb_lab_int_medium,small_size_vibrant,1,0.4,0.4,,,,,
zmb_lab_int_large,med_size_vibrant,1,0.2,0.6,,,,,
zmb_lab_int_larger,med_size_vibrant,1,0.4,0.8,,,,,
zmb_lab_int_huge,large_size_vibrant,1,0.3,0.9,,,,,
zmb_lab_int_hallway,tunnel,1,0.3,0.5,,,,,
dynamic_component,alias,first_event_time_min,first_event_time_max,event_time_min,event_time_max,range_min,range_max,cone_min,cone_max
dynamic_ambience_names,components,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,
mix_names,volmod,value,fadein,fadeout,,,,,
master_mix,set_all,0.6,0.05,0.05,,,,,
master_mix,big_moment,1,0.05,0.05,,,,,
master_mix,scripted1,1,0.05,0.05,,,,,
master_mix,scripted2,1,0.05,0.05,,,,,
master_mix,scripted3,1,0.05,0.05,,,,,
master_mix,scripted4,1.3,0.05,0.05,Gore Sounds,,,,
master_mix,scripted5,1,0.05,0.05,,,,,
master_mix,dialog_radio,1,0.05,0.05,,,,,
master_mix,dialog_critical,1,0.05,0.05,,,,,
master_mix,dialog_amb,1,0.05,0.05,,,,,
master_mix,chatter_friendly,1,0.05,0.05,,,,,
master_mix,chatter_enemy,1,0.05,0.05,,,,,
master_mix,vox_friendly,1,0.05,0.05,,,,,
master_mix,vox_enemy,1,0.05,0.05,,,,,
master_mix,dialog,1,0.05,0.05,,,,,
master_mix,melee_hit,3,0.05,0.05,,,,,
master_mix,melee_plr,2,0.05,0.05,,,,,
master_mix,tactical_plr_special,1,0.05,0.05,Player Boost Jump,,,,
master_mix,tactical_npc_special,1.8,0.05,0.05,NPC Boost Jump,,,,
master_mix,foley_plr,2,0.05,0.05,,,,,
master_mix,footstep_plr,1,0.05,0.05,,,,,
master_mix,footstep_npc,1.3,0.05,0.05,,,,,
master_mix,footstep_plr_special,1,0.05,0.05,,,,,
master_mix,wpn_foley_plr,1.3,0.05,0.05,,,,,
master_mix,wpn_plr_shot,1.9,0.05,0.05,,,,,
master_mix,wpn_plr_shot_special,1.9,0.05,0.05,,,,,
master_mix,wpn_plr_sub,3,0.05,0.05,,,,,
master_mix,wpn_plr_tail,1,0.05,0.05,,,,,
master_mix,bullet_whizby,2.9,0.05,0.05,,,,,
master_mix,bullet_impact_geo,2.9,0.05,0.05,,,,,
master_mix,explosion_grenade,2,0.05,0.05,,,,,
master_mix,explosion_critical,2,0.05,0.05,,,,,
master_mix,mw3_vehicle_npc,0,0.05,0.05,,,,,
master_mix,bodyfall,2,0.05,0.05,,,,,
master_mix,music,1.2,0.05,0.05,,,,,
master_mix,destruct,3,0.05,0.05,,,,,
master_mix,hud,1.5,0.05,0.05,,,,,
silent,set_all,0,0,,,,,,
horde_silent,scripted5,0,0.05,0.05,,,,,
lab_exterior,scripted5,0.501,0.05,0.05,,,,,
lab_exterior,amb_emitter_int,0,0.05,0.05,,,,,
lab_exterior,amb_emitter_ext,1,0.05,0.05,,,,,
lab_interior,scripted5,1,0.05,0.05,,,,,
lab_interior,amb_emitter_int,1,0.05,0.05,,,,,
lab_interior,amb_emitter_ext,0.251,0.05,0.05,,,,,
volmod,value,fadein,fadeout,,,,,,
infected,big_moment,1,0.05,0.05,,,,,
infected,scripted1,0.5,0.05,0.05,,,,,
infected,scripted2,0.5,0.05,0.05,,,,,
infected,scripted3,1,0.05,0.05,,,,,
infected,scripted4,0.5,0.05,0.05,,,,,
infected,scripted5,0.5,0.05,0.05,,,,,
infected,dialog_radio,0.5,0.05,0.05,,,,,
infected,dialog_critical,0.5,0.05,0.05,,,,,
infected,dialog_amb,0.5,0.05,0.05,,,,,
infected,chatter_friendly,0.5,0.05,0.05,,,,,
infected,chatter_enemy,0.5,0.05,0.05,,,,,
infected,vox_friendly,0.5,0.05,0.05,,,,,
infected,vox_enemy,0.5,0.05,0.05,,,,,
infected,dialog,1,0.05,0.05,,,,,
infected,melee_hit,3,0.05,0.05,,,,,
infected,melee_plr,2,0.05,0.05,,,,,
infected,tactical_plr_special,1,0.05,0.05,,,,,
infected,tactical_npc_special,0.5,0.05,0.05,,,,,
infected,foley_plr,2,0.05,0.05,,,,,
infected,footstep_plr,2,0.05,0.05,,,,,
infected,footstep_npc,0.5,0.05,0.05,,,,,
infected,footstep_plr_special,2,0.05,0.05,,,,,
infected,wpn_foley_plr,2,0.05,0.05,,,,,
infected,wpn_plr_shot,1.9,0.05,0.05,,,,,
infected,wpn_plr_shot_special,1.9,0.05,0.05,,,,,
infected,wpn_plr_sub,3,0.05,0.05,,,,,
infected,wpn_plr_tail,1,0.05,0.05,,,,,
infected,bullet_whizby,0.5,0.05,0.05,,,,,
infected,bullet_impact_geo,0.5,0.05,0.05,,,,,
infected,explosion_grenade,2,0.05,0.05,,,,,
infected,mw3_vehicle_npc,0,0.05,0.05,,,,,
infected,bodyfall,0.5,0.05,0.05,,,,,
infected,music,0,0.05,0.05,,,,,
infected,amb_emitter_int,0,0.05,0.05,,,,,
infected,amb_emitter_ext,0,0.05,0.05,,,,,
infected,destruct,1,0.05,0.05,,,,,
